id,Nombre,codigo,localidad_id,active
1158,LA UNION,,5,TRUE
1160,NARINO SUR,,4,TRUE
1161,LA ALAMEDA,,3,TRUE
1535,LA FLORESTA DE LA SABANA,,1,TRUE
1105,EL MIRADOR II,204107,19,TRUE
107,PARQUE NACIONAL,008102,3,TRUE
239,CHIGUAZA RURAL,101308,5,TRUE
449,SAN VICENTE FERRER,002402,6,TRUE
814,BARAJAS NORTE,107109,11,TRUE
345,CURUBITAL,102911,5,TRUE
370,TIBAQUE SUR,102407,5,TRUE
625,ALQUERIA LA FRAGUA NORTE,004542,16,TRUE
873,VILLA ALCAZAR,009263,11,TRUE
746,BELLAVISTA OCCIDENTAL,005503,12,TRUE
692,EL PANTANO,106201,10,TRUE
176,BOSQUE IZQUIERDO,008106,3,TRUE
431,ARBORIZADORA BAJA,002432,19,TRUE
224,TIBAQUE I,201306,4,TRUE
110,PALERMO,007205,13,TRUE
113,PARDO RUBIO RURAL,201509,2,TRUE
236,SAN VICENTE,001309,4,TRUE
717,VILLA AMALIA,005648,10,TRUE
1011,LOS MOLINOS,001417,18,TRUE
590,DINDALITO.,004612,8,FALSE
581,EL PARAISO,004603,8,TRUE
799,LOS ARRAYANES DE SUBA,009143,11,TRUE
237,NUEVA DELHI,001323,4,TRUE
468,EL REMANSO I,004625,7,TRUE
377,EL NEVADO,002631,5,TRUE
223,QUINTA RAMOS,001206,4,TRUE
238,JUAN REY (LA PAZ),001325,5,TRUE
378,LA AURORA,002503,5,TRUE
992,SANTA MATILDE,004209,16,TRUE
122,INGEMAR ORIENTAL RURAL,101103,2,TRUE
71,LAS MARGARITAS,008530,1,TRUE
1047,LUCERO ALTO,002521,19,TRUE
932,ESTACION CENTRAL,006204,16,TRUE
924,GALERIAS,007207,13,TRUE
429,ABRAHAM LINCOLN,002507,18,TRUE
881,SIMON BOLIVAR,005205,12,TRUE
943,SANTA ISABEL,004108,16,TRUE
531,NUEVA GRANADA BOSA,004527,7,TRUE
993,AUTOPISTA MUZU,004403,16,TRUE
240,VELODROMO,001114,4,TRUE
677,CAPELLANIA,006302,9,TRUE
212,EL PINAR,001324,4,TRUE
145,LA CABRERA,008309,2,TRUE
123,CONCEPCION NORTE,007304,12,TRUE
1013,HOSPITAL SAN CARLOS,001403,18,TRUE
232,LAS GAVIOTAS,001334,5,TRUE
1064,LA PRADERA,002437,19,TRUE
1065,JERUSALEN,002434,19,TRUE
624,LA CAMPINA,004506,8,TRUE
172,LAS NIEVES,003102,3,TRUE
242,LAS GUACAMAYAS I,001355,4,TRUE
1067,MEXICO,002516,19,TRUE
679,BOSQUE DE MODELIA,006316,9,TRUE
896,SAN FERNANDO,005203,12,TRUE
897,DOCE DE OCTUBRE,005202,12,TRUE
556,CIUDAD KENNEDY SUR,004507,8,TRUE
755,VILLA DEL MAR,005680,10,TRUE
245,YOMASA,001350,5,TRUE
241,VEINTE DE JULIO,001405,18,TRUE
217,SANTA INES SUR,001308,4,TRUE
695,CHARCO URBANO,006411,9,TRUE
159,LOS ROSALES,008304,2,TRUE
