id,name,activo,codigo,pais_id/id
__export__.radicado_web_departamento_1_a4b139a2,HOVEDSTADEN,1,1,__export__.radicado_web_pais_23_c255f320
__export__.radicado_web_departamento_2_acd07663,COMUNIDAD DE MADRID,1,1,__export__.radicado_web_pais_33_eed82877
__export__.radicado_web_departamento_3_9a99a875,HESSE,1,1,__export__.radicado_web_pais_24_94fa7ffa
__export__.radicado_web_departamento_4_fe4c5f2b,SAN JOSE,1,1,__export__.radicado_web_pais_25_7d33f8de
__export__.radicado_web_departamento_5_bd060a69,COLUMBIA,1,3,__export__.radicado_web_pais_36_0fffc59e
__export__.radicado_web_departamento_6_f0aba4fc,LACIO,1,1,__export__.radicado_web_pais_26_07a2a17c
__export__.radicado_web_departamento_7_7d4b94bc,LA HABANA,1,1,__export__.radicado_web_pais_27_30051460
__export__.radicado_web_departamento_8_2d3d51be,PICHINCHA,1,1,__export__.radicado_web_pais_28_7103a549
__export__.radicado_web_departamento_9_73ea6254,NUEVA YORK,1,4,__export__.radicado_web_pais_36_0fffc59e
__export__.radicado_web_departamento_10_80c69d9c,QUEBEC ,1,1,__export__.radicado_web_pais_29_d153e2fb
__export__.radicado_web_departamento_11_25166060,VALENCIA,1,2,__export__.radicado_web_pais_33_eed82877
__export__.radicado_web_departamento_12_82b59c44,SAO PAULO,1,1,__export__.radicado_web_pais_30_553abaf1
__export__.radicado_web_departamento_13_d62d1370,GRAN SANTIAGO,1,1,__export__.radicado_web_pais_31_f74153b1
__export__.radicado_web_departamento_14_872cc15b,TODOS,1,1,__export__.radicado_web_pais_32_8fbcee76
__export__.radicado_web_departamento_15_f6cca331,ANTIOQUIA,1,5,__export__.radicado_web_pais_32_8fbcee76
__export__.radicado_web_departamento_16_70cb5882,ATLANTICO,1,8,__export__.radicado_web_pais_32_8fbcee76
__export__.radicado_web_departamento_17_f31983a5,D.C.,1,11,__export__.radicado_web_pais_32_8fbcee76
__export__.radicado_web_departamento_18_4fa8b661,BOLIVAR,1,13,__export__.radicado_web_pais_32_8fbcee76
__export__.radicado_web_departamento_19_636ec8e3,BOYACA,1,15,__export__.radicado_web_pais_32_8fbcee76
__export__.radicado_web_departamento_20_27b48317,CALDAS,1,17,__export__.radicado_web_pais_32_8fbcee76
__export__.radicado_web_departamento_21_0e15190d,CAQUETA,1,18,__export__.radicado_web_pais_32_8fbcee76
__export__.radicado_web_departamento_22_3091dfef,CAUCA,1,19,__export__.radicado_web_pais_32_8fbcee76
__export__.radicado_web_departamento_23_608510cc,CESAR,1,20,__export__.radicado_web_pais_32_8fbcee76
__export__.radicado_web_departamento_24_4a6371b2,CORDOBA,1,23,__export__.radicado_web_pais_32_8fbcee76
__export__.radicado_web_departamento_25_c0a021b3,CUNDINAMARCA,1,25,__export__.radicado_web_pais_32_8fbcee76
__export__.radicado_web_departamento_26_a3fe7554,CHOCO,1,27,__export__.radicado_web_pais_32_8fbcee76
__export__.radicado_web_departamento_27_a2c80c9a,HUILA,1,41,__export__.radicado_web_pais_32_8fbcee76
__export__.radicado_web_departamento_28_fbeea6fd,LA GUAJIRA,1,44,__export__.radicado_web_pais_32_8fbcee76
__export__.radicado_web_departamento_29_3ff5b941,MAGDALENA,1,47,__export__.radicado_web_pais_32_8fbcee76
__export__.radicado_web_departamento_30_fac4f86e,META,1,50,__export__.radicado_web_pais_32_8fbcee76
__export__.radicado_web_departamento_31_3fc88439,NARINO,1,52,__export__.radicado_web_pais_32_8fbcee76
